,Date,Country,Dead,Source,More_Info
5584,Reported 28-Dec-1898,AUSTRALIA,Y,"Brisbane Courier, 12/28/1898",http://sharkattackfile.net/spreadsheets/pdf_directory/1898.12.28.R-Waters.pdf
5585,28-Oct-1898,USA,Y,"Hawaiian Gazette, 11/1/1898",http://sharkattackfile.net/spreadsheets/pdf_directory/1898.10.28-AhHol.pdf
5588,Reported 07-Sep-1898,WEST INDIES,Y,"The Guardian, 9/7/1898",http://sharkattackfile.net/spreadsheets/pdf_directory/1898.09.07.R-Bray.pdf
5589,22-Aug-1898,USA,N,"Lima News, 9/27/1898",http://sharkattackfile.net/spreadsheets/pdf_directory/1898.08.22-Boone.pdf
5591,15-Jul-1898,YEMEN ,Y,Captain J. L.T. Jones,http://sharkattackfile.net/spreadsheets/pdf_directory/1898.07.15-SomaliBoatman.pdf
5592,14-Jul-1898,YEMEN ,Y,"Inangahua Times, 10/26/1898",http://sharkattackfile.net/spreadsheets/pdf_directory/1878.07.14-Davies.pdf
5593, Jul-1898,CUBA,Y,"V.M. Coppleson (1958), p.258 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1898.07.00-Cuba.pdf
5594,22-Jun-1898,NEW CALEDONIA,Y,"New York Times, 6/23/1898",http://sharkattackfile.net/spreadsheets/pdf_directory/1898.06.22-NewCaledonia.pdf
5595,13-Apr-1898,FIJI,N,"Launceston Examiner, 8/26/1898",http://sharkattackfile.net/spreadsheets/pdf_directory/1898.04.13-FrancisAdams.pdf
5596,1898.01.24,SRI LANKA,Y,"U.S.Life-Saving Annual Report, 1913",http://sharkattackfile.net/spreadsheets/pdf_directory/1898.01.24-Ceylon.pdf
5598,1898,USA,N,"Field & Stream, 1933",http://sharkattackfile.net/spreadsheets/pdf_directory/1898.00.00.f-Rutledge.pdf
5599,1898 (soon after the close of the Spanish-American War),CUBA,Y,"J. E. Kirby, letter to Captain Dinning, dated 10/14/1927",http://sharkattackfile.net/spreadsheets/pdf_directory/1898.00.00.e-13-men.pdf
5600,1898,JAMAICA,N,"Indiana Evening Gazette, 11/22/1904",http://sharkattackfile.net/spreadsheets/pdf_directory/1898.00.00.d-Gonzales.pdf
5601,1898,CUBA,Y,"J. E. Kirby, letter to Captain Dinning, dated 10/14/1927",http://sharkattackfile.net/spreadsheets/pdf_directory/1898.00.00.c-AmericanPOWs.pdf
5602,1898-1899,USA,N,W. H. Gregg,http://sharkattackfile.net/spreadsheets/pdf_directory/1898.00.00.b-Florida.pdf
5603,Summer of 1898,YEMEN ,Y,"Daily Kennebec Journal, 3/27/1911",http://sharkattackfile.net/spreadsheets/pdf_directory/1898.00.00.a-AdenDiver.pdf
5604,1898,USA,Y,"H.W. McCurdy, History of the Pacific Northwest, p. 51",http://sharkattackfile.net/spreadsheets/pdf_directory/1898.00.00.g-Nomad.pdf
5605,Reported 04-Dec-1897,USA,N,"Trenton Evening Times, 12/4/1897",http://sharkattackfile.net/spreadsheets/pdf_directory/1897.12.04.R-Sailor.pdf
5607,Reported 05-Oct-1897,MARSHALL ISLANDS,Y,"North Otago Times, 1258/1897",http://sharkattackfile.net/spreadsheets/pdf_directory/1897.10.05.R-Ailuk-Island.pdf
5608,17-Sep-1897,USA,N,"New York Times, 9/18/1897",http://sharkattackfile.net/spreadsheets/pdf_directory/1897.09.17-HokeSmith.pdf
5609,06-Sep-1897,USA,N,"Hartford Courant, 8/7/1897",http://sharkattackfile.net/spreadsheets/pdf_directory/1897.09.06-Fripp.pdf
5610,21-Jul-1897,SOUTH AFRICA,Y,"Natal Mercury, 7/24/1897; M. Levine, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1897.07.21-Indianboy.pdf
